Date	AC Type	Plane	Route of Flight	App	Remarks	day ldg	nt ldg	nt t/o	ASEL	AMEL	Heli	Night	Actual	Hood	Flight Sim	XC	Dual	PIC	Solo	Total		
11/20/05	PA-28	N75078	W32 - GED		Lunch with Jonathan and Nathaniel	1			0.9							0.9		0.9		0.9		
11/23/05	PA-28	N75078	W32 - PHF		To Newport News to get Jonathan's in-laws	1			1.1							1.1		1.1	1.1	1.1		
11/23/05	PA-28	N75078	PHF - W32		   V  Return trip with in-laws	1			1.3							1.3		1.3		1.3		
11/25/05	PA-28	N75078	W32 - PHF		To Newport News to drop off Jonathan's in-laws	1			1.2							1.2		1.2		1.2		
11/25/05	PA-28	N75078	PHF - W32		   V  Return trip	1			1.0							1.0		1.0	1.0	1.0		
12/18/05	PA-28	N75078	W32 - 2W6 - W32		Landing practice	7			1.3									1.3	1.3	1.3		
12/27/05	PA-28	N75078	W32 - FDK - W32		GPS repair	2			1.8									1.8	1.8	1.8		
1/13/06	PA-28	N75078	W32-PHL-ORF-SFQ-W32	1	"Angelflight - ILS to minimums at PHL, 30-40 knots headwinds to ORF (and tailwinds back), gas at SFQ"	4			5.7				0.2			5.7		5.7	3.1	5.7		
2/19/06	PA-28	N75078	W32 - ESN - W32		Intro flight for Dave Castor	2			1.6									1.6		1.6		
3/5/06	PA-28	N75078	W32 - FCI - W32		Lunch with Jonathan and Nathaniel	2			1.6							1.6		1.6		1.6		
3/16/06	PA-28	N75078	W32 - 2W5 - W32		Landing practice	5			0.9									0.9	0.9	0.9		
3/22/06	PA-28	N75078	W32 - LFI - W32		"Meeting at AEF Center, flew down with Steve Dion"	2			2.5							2.5		2.5		2.5		
3/28/06	PA-28	N75078	W32-HEF-N87-W32		Angelflight 	3			4.1				0.2			4.1		4.1		4.1		
3/31/06	PA-28	N75078	W32 - PHF - W32		Sona appointment	2			2.2							2.2		2.2	2.2	2.2		
5/6/06	PA-28	N75078	W32 - 3W3		"Jonathan and Nathaniel, grass field landing"	1			0.7									0.7		0.7		
5/29/06	PA-28	N75078	W32 - W32		Airwork	1			1.0									1.0	1.0	1.0		
6/4/06	PA-28	N75078	W32-RMN-EZF-RMN-HEF-EZF-RMN	6	"Instrument currency flight with J. Core, SP, lunch at HEF, delayed for passing thunderstorms at RMN"	4			2.4					1.8				2.4		2.4		
6/4/06	PA-28	N75078	RMN-W32		"SP for J. Core - ILS RMN, ILS RMN"				0.4									0.4		0.4		
6/23/06	PA-28	N75078	W32 - 2W5 - W32		Emergency procedures	2			0.6									0.6	0.6	0.6		
7/22/06	C172	N75917	W32 - 2W5 - W32		"BFR - Slow Flight, go arounds, soft/short t/o ldg, emergency procedures, power off landings"	6			1.0								1.0	1.0		1.0		
7/23/06	PA-28	N75078	W32 - W32		Maintenance flight - engine break-in post annual	1			1.2									1.2	1.2	1.2		
7/29/06	PA-28	N75078	ILG-EVY-38N-0N4-33N-15N-0N6-D74-GED-N06-W32		"All DE flight with Jonathan and Nathaniel.  Multiple takeoff attempts at 15N and 0N6, short/soft field t/o/ldgs w/ obstacles, overran runway at 0N6 (J and N took taxi to 15N)"	11			2.8							2.8		2.8		2.8		
8/9/06	PA-28	N75078	W32 - 2W5 - W32		"Sightseeing flight, out west to mountains"	2			1.6									1.6	1.6	1.6		
8/13/06	PA-28	N75078	W32 - 2W5 - W32		Trip to look at plane for Jonathan	2			0.7									0.7		0.7		
8/16/06	PA-28	N75078	W32 - ORF - W32		To Norfolk with Jonathan after uncle's heart attack	2			2.6							2.6		2.6	1.4	2.6		
8/19/06	PA-28	N75078	W32 - W66 - W32		Flying Circus airshow with Rachael	2			1.1									1.1		1.1		
9/4/06	PA-28	N75078	W32 - 76N - W32		"With Rachael to see Chuck Latwinski in Rush, PA - vacuum pump failure"	2			3.8							3.8		3.8		3.8		
9/9/06	PA-28	N75078	W32 - PHF - W32		With Rachael for Sona appointment	2			2.1							2.1		2.1		2.1		
9/24/06	C172SP	N5329L	PHDH - PHDH		"Landing at Dillingham, HI with Chad and Rachael"	1			0.0									0.0		0.0		
10/7/06	PA-28	N75078	W32 - IOB		"First leg of airplane relocation, with Jonathan.  IMC at start, ~40 kt tailwind"	1			2.1				0.9			2.1		2.1		2.1		
10/7/06	PA-28	N75078	IOB - PGR		"Second leg, tailwind 20 kts"	1			1.8							1.8		1.8		1.8		
10/7/06	PA-28	N75078	PGR - OUN		"Third leg, tailwind 10 knots down to 0"	1			2.7							2.7		2.7		2.7		
10/20/06	PA-28	N75078	OUN-1K4-HSD-PWA-OUN		Local orientation flight	4			1.2									1.2	1.2	1.2		
10/22/06	PA-28	N75078	OUN-CHK-RQO-F29-OKC-OUN		Local orientation flight	5			1.8									1.8	1.8	1.8		
10/29/06	PA-28	N75078	OUN - OUN		"Night landing practice, engine out ldgs, last 3 ldgs to full stop"		11	11	1.1			1.1						1.1	1.1	1.1		
11/2/06	PA-28	N75078	OUN - F10 - OUN		Night cross-country (solo) for training		2	2	1.7			1.7				1.7		1.7	1.7	1.7		
11/4/06	PA-28	N75078	OUN - 6F1 - OUN		Dual day x/c	2			2.7							2.7	2.7	2.7		2.7		
11/7/06	PA-28	N75078	OUN - OUN		"slow flight, stalls, steep turns, fundamentals"	1			0.8								0.8	0.8		0.8		
11/8/06	PA-28	N75078	OUN - OUN		"lazy 8's, chandelles"	1			1.0								1.0	1.0		1.0		
11/9/06	PA-28	N75078	OUN - OUN		"practice on chandelles, lazy 8's, stalls, steep turns"	1			1.0									1.0	1.0	1.0		
11/13/06	PA-28	N75078	OUN - OUN		"emergency procedures, lazy 8's, chandelles"	1			0.8								0.8	0.8		0.8		
11/14/06	PA-28	N75078	OUN - OUN		"steep spirals, review"	1			1.0								1.0	1.0		1.0		
11/16/06	PA-28	N75078	OUN - OUN		"8's on pylons, review"	1			0.9								0.9	0.9		0.9		
11/16/06	PA-28	N75078	OUN - OUN		"practice - chandelles, lazy 8's, 8's on pylons, steep spirals"	1			0.8									0.8		0.8		
11/16/06	PA-28	N75078	OUN - 2K4 - OUN		Night X/C - both F/S landings		2	2	2.2			2.2				2.2	2.2	2.2		2.2		
11/18/06	PA-28	N75078	OUN - O44 - OUN		Fly-in and commercial manuever practice	2			1.0									1.0	1.0	1.0		
11/20/06	PA-28	N75078	OUN - OUN		Review	1			0.9								0.9	0.9		0.9		
11/23/06	PA-28	N75078	OUN-ADM-PVJ-3O3-OUN		Night experience		4	4	2.0			2.0				2.0		2.0	2.0	2.0		
11/25/06	PA-28	N75078	OUN - OUN		"st turns, stalls, chandelles, lazy 8's, steep spirals, 8's on pylons, emergency procedures"	1			0.8									0.8	0.8	0.8		
12/3/06	PA-28	N75078	OUN - ADH - F99 - OUN		"st turns, stalls, chandelles, lazy 8's, steep spirals, 8's on pylons, emergency procedures"	3			2.2							2.2		2.2	2.2	2.2		
12/5/06	C172RG	N9724B	OUN - OUN		"Intro to 172 RG, alternator field failure"	1			0.8								0.8	0.8		0.8		
12/8/06	C172RG	N9724B	OUN - OUN		"Traffic patterns, t/g ldgs"	9			1.1								1.1	1.1		1.1		
12/9/06	C172RG	N9724B	OUN - OUN		"short/soft t/o ldgs, 180 deg ldgs"	6			0.8								0.8	0.8		0.8		
12/9/06	C172RG	N9724B	OUN - OUN		"emergencies, 180 deg ldgs"	6			1.1								1.1	1.1		1.1		
12/15/06	PA-28	N75078	OUN - OUN		Pre-checkride practice	1			0.9									0.9	0.9	0.9		
12/17/06	PA-28	N75078	OUN - OUN		Commercial checkride	1			1.0									1.0		1.0		
12/17/06	C172RG	N9724B	OUN - OUN		Commercial checkride	5			0.7									0.7		0.7		
12/26/06	PA-28	N75078	OUN - O38		Flight to see Mom	1			1.2							1.2		1.2	1.2	1.2		
12/26/06	PA-28	N75078	O38 - O38		"Sightseeing around Owasso with Mom - steep turns, stalls"	1			1.0									1.0		1.0		
12/26/06	PA-28	N75078	O38 - 2F6		Short hop for gas on return trip	1			0.3									0.3	0.3	0.3		
12/26/06	PA-28	N75078	2F6-SUD-CQB-OUN		Return trip	3			1.1							1.1		1.1	1.1	1.1		
1/1/07	PA-28	N75078	OUN - O38		Flying to Gundy's for storage	1			1.2							1.2		1.2	1.2	1.2		
5/26/07	PA-28	N75078	O38 - 3F7 - OUN		"Return flight, mx check, VFR under low ceiling"	3			1.3							1.3		1.3	1.3	1.3		
5/31/07	PA-28	N75078	OUN-SRE-O47-SNL-OUN		"Practice, manuevers, stalls, st turns, chandelles, landings, p/o landings"	6			2.2									2.2	2.2	2.2		
6/22/07	PA-28	N75078	OUN - OUN		landing practice	5			0.8									0.8	0.8	0.8		
6/24/07	PA-28	N75078	OUN - OKC - OUN	6	"Approach recurrency, Steve Ruse SP"	2			2.1					1.5				2.1		2.1		
7/7/07	PA-28	N75078	OUN - OUN		Sightseeing flight with Matt Huch	1			1.3									1.3		1.3		
7/25/07	PA-28	N75078	OUN - OUN		"Post-annual check flight, landing practice"	4			0.5									0.5	0.5	0.5		
8/4/07	PA-28	N75078	OUN - PVJ - OUN		Fly-in at PVJ	2			1.5									1.5	1.5	1.5		
8/8/07	PA-28	N75078	OUN - OUN		New VOR/ILS CDI check flight	1			0.4									0.4	0.4	0.4		
8/12/07	PA-28	N75078	OUN - OUN			3			0.4									0.4	0.4	0.4		
8/16/07	PA-28	N75078	OUN - ADS		To ADS for multi-training	1			1.7				0.2			1.7		1.7	1.7	1.7		
8/16/07	PA-44	N253AT	ADS - TKI - ADS		"Multi training, manuevers, engine out procedures, pattern work"	5				1.9							1.9			1.9		
8/16/07	PA-28	N75078	ADS - OUN			1			1.6							1.6		1.6	1.6	1.6		
8/17/07	PA-28	N75078	OUN - ADS			1			1.8				0.3			1.8		1.8	1.8	1.8		
8/17/07	PA-44	N253AT	ADS - TKI - ADS	4	"SE inst approaches, manuevers"	2				2.0				0.8			2.0			2.0		
8/17/07	PA-28	N75078	ADS - OUN			1			1.7							1.7		1.7	1.7	1.7		
8/22/07	PA-28	N75078	OUN - ADS			1			1.8							1.8		1.8	1.8	1.8		
8/22/07	PA-44	N253AT	ADS - TKI - ADS	4	"emergency procedures, manuevers"	2				2.6				1.4			2.6			2.6		
8/22/07	PA-44	N253AT	ADS - TKI - ADS	3	"emergency procedures, steep truns, Vmc demo"	2				2.1				1.0			2.1			2.1		
8/22/07	PA-28	N75078	ADS - OUN			1			1.4							1.4		1.4	1.4	1.4		
8/23/07	PA-28	N75078	OUN - ADS			1			1.8				0.1			1.8		1.8	1.8	1.8		
8/23/07	PA-44	N253AT	ADS - TKI - ADS	1	Commercial Multiengine Land checkride	3				1.5				0.3				1.5		1.5		
8/23/07	PA-28	N75078	ADS - OUN			1			1.3							1.3		1.3	1.3	1.3		
9/1/07	PA-28	N75078	OUN - OKC - PVJ		"Safety pilot for Chad DeNaughel, ASR OKC"				0.3									0.3		0.3		
9/1/07	PA-28	N75078	6F1 - H05 - MLC			2			0.4									0.4		0.4		
9/1/07	PA-28	N75078	MLC - OUN		"Safety pilot for Chad DeNaughel, GPS OUN"				0.3									0.3		0.3		
9/2/07	PA-28	N75078	OUN-JWG-MDF-WWR		"Chad flew most of flight, I just flew for the landings - headed to Liberal, KS Air Museum"	3			0.3									0.3		0.3		
9/2/07	PA-28	N75078	OUN-JWG-MDF-WWR-LBL		"Safety pilot for Chad DeNaughel, VOR/DME-A JWG, GPS MDF, GPS WWR, LOC LBL, hold"				1.0									1.0		1.0		
9/16/07	PA-28	N75078	OUN-GOK-F92-OUN		"Practice flying from right seat, 3 ldgs at GOK, 1 at field near Kingfisher (grass), 1 at Kingfisher (grass), practice GPS 34 w/circle at GOK, practice LOC 17 at OUN"	6			2.2									2.2	2.2	2.2		
9/22/07	PA-28	N75078	OUN - O38		To pick up Mom	1			1.3							1.3		1.3	1.3	1.3		
9/22/07	PA-28	N75078	O38-BVO-O38		"Picked up Mom, went to Bartlesville Fly-in, low fly-by, grass strip t/o"	2			1.1							1.1		1.1		1.1		
9/22/07	PA-28	N75078	O38-1H6-4F1-95F-OUN		"Return trip, stopped at 3 new airports"	4			1.5							1.5		1.5	1.5	1.5		
9/29/07	PA-28	N75078	OUN - PVJ - OUN		"PVJ Fly-in with Matt Hutch, tour of FAA DC-3"	2			1.5									1.5		1.5		
10/12/07	PA-28	N75078	OUN-F30-97F-OUN			3			1.4									1.4	1.4	1.4		
10/14/07	PA-28	N75078	OUN-99F-2O8-F68-1K2-OUN		"Flew over new airport, O14, looked like very bumpy grass runway, did not land"	5			1.9									1.9	1.9	1.9		
10/28/07	PA-28	N75078	OUN-1F0-1F1-37K-T40-OUN		"Lunch at McGehee's Catfish Restaurant (T40) with Craig H, Anson Young and wife.  Short, sloped and challenging runway"	5			2.3							2.3		2.3	2.3	2.3		
11/4/07	PA-28	N75078	OUN - OUN		"Tour with Rachael's Dad - over the house, downtown, Tinker, lakes"	1			1.0									1.0		1.0		
11/4/07	PA-28	N75078	OUN - OUN		Post-oil change check flight	4			0.4									0.4	0.4	0.4		
11/15/07	PA-28	N75078	OUN-OKC-OUN		"Night currency flight, practice (solo) ILS approaches and hold at OKC (17L and 17R), 3 landings to full stop"		4	4	1.1			1.1						1.1	1.1	1.1		
11/17/07	PA-28	N75078	OUN-O44-OUN		"O44 fly-in with Matt Hutch, spot landing competition (23 feet, 3rd or 4th place)"	5			1.6									1.6		1.6		
11/17/07	J-3C-65	N75772	O44-O44		Quick flight in 65hp J-3 around McCaslin	0			0.1									0.1		0.1		
11/22/07	PA-28	N75078	OUN-O44-OUN		"Tour of area with Mom on Thanksgiving - over house, downtown, Tinker, Twin Lakes, Mary Lynn's house, t/g at O44"	2			1.2									1.2		1.2		
12/6/07	PA-28	N75078	OUN-OKC-1K4-OUN		"Landings on OKC runway 18, turned base over SW 737 on final for 13.  Full-stop taxi back on 1K4's 1800 ft runway 17, airborne before intersection with 13"	3			0.7									0.7	0.7	0.7		
1/1/08	PA-28	N75078	OUN-DUC-3O5-LAW-O14-1K4-OUN		"14,000 ft, backwards flight, stalls, high pressure day - 30.74 and windy, ldg at DUC with 39kt GS, fuel at 1K4, short takeoffs all day"	7			2.4							2.4		2.4	2.4	2.4		
1/13/08	PA-28	N75078	OUN-SWO-CUH-O44-OUN		"over old ""James Pasture Airport"", Hoegstrom house, to SWO (VOR/DME 35 with arc), 2 ldgs at Cushing, one on grass strip 29, 3 at O44, 4 at OUN"	11			2.3							2.3		2.3	2.3	2.3		
2/2/08	PA-28	N75078	OUN-1K2-PVJ-OUN		PVJ Fly-in with Matt Hutch	3			1.6									1.6		1.6		
2/9/08	PA-28	N75078	OUN-CHK-1K4-OUN		"Grass landings at CHK, fuel at 1K4, sent around at OUN (on left base with traffic on right base, ""turn left NOW"")"	6			1.3									1.3	1.3	1.3		
2/10/08	PA-28	N75078	OUN-86F-1K4-OUN		"new airport, gas at 1K4"	3			1.3							1.3		1.3	1.3	1.3		
2/23/08	PA-28	N75078	OUN - O44 - OUN		"McCaslin fly-in with Eric Suski, example GPS 3 to OUN"	2			1.6									1.6		1.6		
3/1/08	PA-28	N75078	OUN - PVJ - OUN		"PVJ fly-in with Matt Huch, airborne photos of Steve's Pietenpol"	2			1.4									1.4		1.4		
3/9/08	PA-28	N75078	OUN - OUN		"Pattern work, landing practice, 0/25/40 flaps, not letting nosewheel touch, ground effect flap changes"	4			0.6									0.6	0.6	0.6		
3/21/08	PA-28	N75078	OUN - O38		To Mom and Dad's house	1			1.3							1.3		1.3	1.3	1.3		
3/22/08	PA-28	N75078	O38 - GCM - O38		"Flight with Mom, 500th hour south of Lake Oolagah"	2			1.0							1.0		1.0		1.0		
3/22/08	PA-28	N75078	O38 - OUN		Return flight	1			0.9							0.9		0.9	0.9	0.9		
4/5/08	PA-28	N75078	OUN - PVJ - OUN		"PVJ fly-in with Matt Huch, two ldgs at OKC 18 and 17R, airborne photos of Steve's Pietenpol"	4			1.6									1.6		1.6		
4/15/08	PA-28	N75078	OUN - 1K4 - OUN		"crosswind, gusty wind landing, 150/18-25"	5			0.9									0.9	0.9	0.9		
5/3/08	PA-28	N75078	OUN - CHK - PVJ - OUN		"To CHK to meet with SteveR and wife, met WWII pilot who had trained there in Stearmans, formation flying with Steve to PVJ.  Group fly-by (10 planes or so) of downtown PVJ, ordered by speed, and we were second behind the lead Bonanza!  First time that ever happened.  "	4			2.1									2.1		2.1		
5/17/08	PA-28	N75078	OUN - OUN		First flight with Piper!  Tour of city with Rachael	1			0.7									0.7		0.7		
6/8/08	PA-28	N75078	OUN - LHX - COS		"To COS to see Chad - headwinds, undercast throughout OK, KS"	2			4.8							4.8		4.8	4.8	4.8		
6/8/08	PA-28	N75078	COS - PUB - COS		"Safety pilot for Chad, lunch at PUB"				0.8									0.8		0.8		
6/9/08	PA-28	N75078	COS - LXV		"to LXV via Woodland Park, Canon City, Royal Gorge Bridge, Salida, Buena Vista, SP for Chad"				0.4									0.4		0.4		
6/9/08	PA-28	N75078	AEJ - AEJ	1	"Chad DeNaughel SP, on way to LXV"				0.1					0.1				0.1		0.1		
6/9/08	PA-28	N75078	LXV - APA	1	"Long, slow t/o roll at LXV, airborne just before midfield on 6400' runway, climbout very slow at 100 fpm or less.  Good mountain lift, 1000 fpm up to 14,000!  C. DeNaughel SP"	1			1.0					0.1		1.0		1.0		1.0		
6/9/08	PA-28	N75078	APA - 00V - COS	1	"Slow climbout of APA.  T/g at 00V!  Very gusty, rough final at COS.  C. DeNaughel SP"	2			0.9					0.1		0.9		0.9		0.9		
6/10/08	PA-28	N75078	COS - COS	3	"Much smoother air, better approaches.  C. DeNaughel SP"	1			1.3					1.0				1.3		1.3		
6/10/08	PA-28	N75078	COS - OUN	1	"tailwind most of way home, storm near Wichita visible for most of flight, OVC 1300 at OUN"	1			4.0				0.1			4.0		4.0		4.0		
6/29/08	PA-28	N75078	OUN - AVK - OUN		"With Don DeWitt and Steve Ruse to pick up Don's new Fisher Biplane, caught up on way back, saw smoke from smoke system, took pics, flew over fire and got bumped"	2			2.5							2.5		2.5		2.5		
7/4/08	PA-28	N75078	OUN - O38		2nd flight with Piper!  To Owasso for the weekend.  She fell asleep about halfway through	1			1.2							1.2		1.2		1.2		
7/5/08	PA-28	N75078	O38 - TUL - O38		"2nd flight ever with Randy.  Over Lake Oologah, T/G at TUL, over downtown"	2			1.1									1.1		1.1		
7/6/08	PA-28	N75078	O38 - OUN		"Back from Owasso, Piper's 3rd flight, slept the whole way"	1			1.3							1.3		1.3		1.3		
7/19/08	PA-28	N75078	OUN-1K4-ADM-OUN		With Matt Huch for lunch at Blue Pig BBQ at ADM with DFW pilots group	3			2.0							2.0		2.0		2.0		
7/27/08	PA-28	N75078	OUN-OJA-1O4-CLK-F36-OUN		Burning fuel before SB1006 at annual	5			2.0							2.0		2.0	2.0	2.0		
9/25/08	PA-28	N75078	OUN-OUN		Post-annual and overhaul maintenance check flight	1			0.4									0.4	0.4	0.4		
9/26/08	PA-28	N75078	OUN-OUN		Engine break-in	1			1.2									1.2	1.2	1.2		
9/27/08	PA-28	N75078	OUN-O44-1K4-OUN		"Fly-in at O44, more engine break-in, gas at 1K4"	3			1.5									1.5	1.5	1.5		
10/4/08	PA-28	N75078	OUN-1K4-OK10-PVJ-OUN		"To see Jim Baker's field (Entropy), fly-in at Paul's Valley"	4			1.3									1.3	1.3	1.3		
10/11/08	PA-28	N75078	OUN-1K4-53OK-OUN		"gas at 1K4, fly-in at 53OK, Steve, Herb and Don all there"	3			1.1									1.1	1.1	1.1		
10/19/08	PA-28	N75078	OUN-3O3-OUN			2			0.9									0.9	0.9	0.9		
10/24/08	PA-28	N75078	OUN-SNL-OUN		"visibility over 60nm, could see Wichita Mts from Lake Thunderbird"	2			0.9									0.9	0.9	0.9		
10/25/08	PA-28	N75078	OUN-LAW-OUN		"with Matt Huch, lunch at LAW, overflight of Wichita Mts, great visibility >50nm"	2			2.0							2.0		2.0		2.0		
11/1/08	PA-28	N75078	OUN-PVJ-OUN		"with John Compton, first flight in OK, over O44, Muldrow, Turner Falls, fly-in at PVJ - saw Jim and Herb there"	2			1.6									1.6		1.6		
11/6/08	PA-28	N75078	OUN-1K4-3O3-OUN		"night currency, good visibility, tailwind landings at OUN, 4 ldgs to full stop"		5	5	0.9			0.9						0.9	0.9	0.9		
11/8/08	PA-28	N75078	OUN-O65-6K4-OUN		"to Fairview fly-in with Steve, great visibility, 40+ knot tailwind at 7500 on way back"	3			2.0							2.0		2.0		2.0		
11/15/08	PA-28	N75078	OUN-O44-OUN		"O44 fly-in with Matt Hutch, cold and windy (30kt gusts), flew back 11.4nm at 80 MIAS in 16 min, ~40kt GS"	2			1.1									1.1		1.1		
11/19/08	PA-28	N75078	OUN-PWA		"To PWA for transponder/altimeter checks, flew up I-35 corridor with 35deg crab angle into wind"	1			0.4									0.4	0.4	0.4		
11/19/08	R22BII	N240SH	PWA-F29-PWA		"Helicopter intro flight - normal and steep approaches, hovers, patterns, pick up and let downs, demo autorotation"	5					1.2						1.2			1.2		
11/19/08	PA-28	N75078	PWA-OUN		Return flight	1			0.4									0.4	0.4	0.4		
11/24/08	PA-28	N75078	OUN-GKY-OUN		"Graceflight to Arlington, 1.6 down, 1.9 back, tailwind and 140-150kt cruise on way down, bumpy at 6000, smooth at 7000"	2			3.5							3.5		3.5	1.9	3.5		
12/7/08	PA-28	N75078	OUN-F22-4O2-O53-O66-2K1-WDG-OUN		"new airports, 163kt gs at 4500 northbound, O66 1600X21? Shortest strip yet, F22 had pulsating VASI, 2K1 landed on paved part"	7			2.3							2.3		2.3	2.3	2.3		
12/12/08	PA-28	N75078	OUN-OUN		Warming oil for oil change	5			0.6									0.6	0.6	0.6		
12/21/08	PA-28	N75078	OUN-OUN		"Test of vortex generators.  Cold day 28 deg, fuel to tabs, only me on board, wind 340 at 9, runway 35, t/o ~470 ft"	4			0.5									0.5	0.5	0.5		oil at 6 qts before flight
12/28/08	PA-28	N75078	OUN-OUN		"Flight with John Compton and son over OKC.  Son started feeling sick about halfway through, came back to land.  Great landing!"	1			0.8									0.8		0.8		
1/3/09	PA-28	N75078	OUN-O44-PVJ-OUN		"PVJ fly-in with John Compton and son JT, landed at ""farmer's field"" O44, JT flew back from PVJ, did very well following I-35"	3			1.3									1.3		1.3		
1/10/09	PA-28	N75078	OUN-ADM		"to ADM pancake breakfast with Matt Huch and Steve Ruse, Matt left seat, me right seat, windows fogged on takeoff, 150+kts groundspeed with tailwind"	1			0.8							0.8		0.8		0.8		
1/10/09	PA-28	N75078	ADM-OUN	3	"return flight, me left seat, Steve Ruse safety pilot"	1			1.1					0.7		1.1		1.1		1.1		
1/11/09	PA-28	N75078	OUN-MLC-OUN		"with Piper to meet Steve Ruse, Jim Bynum and 16 others for lunch in McAlester.  Great girl, fell asleep last 15 minutes of outbound flight, 40 minutes of return flight"	2			2.0							2.0		2.0		2.0		
1/18/09	PA-28	N75078	OUN-LAW-OUN		"Formation flight with Steve and Tyler in Grumman, flight over Wichita Mts, lunch at LAW"	2			2.0							2.0		2.0	2.0	2.0		"oil at 4 qts at start, added 1 qt at 1.2 into flight"
1/20/09	R22BII	N4179M	PWA-HSD-PWA		"pre/post flight, normanl t/o and app, patterns, hover work, A/S and altitude changes, turns"	5					1.5						1.5			1.5		
1/22/09	R22BII	N4179M	PWA-F29-PWA		normal procedures	5					1.1						1.1			1.1		
1/25/09	PA-28	N75078	OUN-1K4-O44-1K4-OUN		short field practice	5			0.8									0.8	0.8	0.8		
1/28/09	R22BII	N240SH	PWA-F29-PWA		"normal/max t/o, norm/steep app, hover work, patterns, straight auto"	6					1.3						1.3			1.3		
2/2/09	R22BII	N4179M	PWA-F29-PWA		"autos, slopes, steep/normal app, quick stops"	6					1.1						1.1			1.1		
2/2/09	PA-28	N75078	OUN-OKC-OUN		"Photo flight with Steve Ruse and Gene, over OKC and PWA, 3 t/o, ldg to FS (1 at OKC)"		3	3	0.7			0.7						0.7		0.7		
2/4/09	R22BII	N4179M	PWA-F29-PWA		"normal/steep app, autos, quick stops, confined area landings, max perf t/o, slopes, settling with power demo"	7					1.3						1.3			1.3		
2/7/09	PA-28	N75078	OUN-PVJ-OUN		"to PVJ fly-in with Steve Ruse in Grumman, Tyler in C152, above coulds, fly-by of Entropy, Piper came along"	2			1.5									1.5		1.5		
2/11/09	R22BII	N240SH	PWA-F29-PWA		"confined area ops, autos, hovering autos"	5					1.2						1.2			1.2		
2/12/09	R22BII	N4179M	PWA-F29-PWA		"autos, 180 autos, slopes, normal procedures"	10					1.4						1.4			1.4		
2/14/09	PA-28	N75078	OUN-53OK		with Steve Ruse for Thompson EAA Fly-in	1			0.4									0.4		0.4		
2/14/09	PA-28	N75078	53OK-OUN	4	"return from fly-in, approaches, Steve Ruse SP, pop-up IFR clearance once current, cloud bases at 3000, tops 4000, rapidly clearing"	1			1.2				0.1	0.8				1.2		1.2		
2/16/09	R22BII	N240SH	PWA-F29-PWA		"autos, 180/straight, settling"	8					1.2						1.2			1.2		
2/17/09	R22BII	N4179M	PWA-2O8-PWA		"cross-country, confined area"	3					1.1					1.1	1.1			1.1		
2/18/09	R22BII	N4179M	PWA-PWA		"autos, 180 autos, pedal turns in 20-kt wind"	8					1.1						1.1			1.1		
2/22/09	PA-28	N75078	OUN-3T0-1F4-0F9-F31-DUA-AQR-08F-OUN		"Lunch with Craig, Andrew, and others at Cedar Mills, TX"	8			3.4							3.4		3.4	3.4	3.4		
2/23/09	R22BII	N4179M	PWA-CLK-PWA		Night XC		2	2			2.3	2.3				2.3	2.3			2.3		
2/24/09	R22BII	N4179M	PWA-CHK-PWA		"autos, settling, slopes, pirouettes, hover turns around a point"	8					1.6					1.6	1.6			1.6		
2/24/09	PA-28	N75078	OUN-OKC-OUN		Flight with Matt Huch and daughter Carolina around OKC		2	2	0.9			0.9						0.9		0.9		
2/26/09	R22BII	N4179M	PWA-HSD-PWA		"norm t/o and app, hover work, governer off, run-on ldgs, staright/180 auto, stuck pedal, steep app, slopes"	10					1.5						1.5			1.5		
2/27/09	R22BII	N4179M	PWA-F29-PWA		"norm/max t/o, normal/steep app, gov off, low rpm, straight/180 auto, patterns, hoverwork"	6					1.2						1.2			1.2		
3/2/09	R22BII	N4179M	PWA-F29-PWA		"solo - normal/max perf t/o, normal/steep app, hovers, gov off hover, pedal turns, hovering backwards/sideways"	6					1.3						0.5	1.3	0.8	1.3		
3/6/09	PA-28	N75078	OUN-PWA		to D+B Aircraft Engines to fix oil consumption problem	1			0.3									0.3	0.3	0.3		
3/8/09	R22BII	N4179M	PWA-F29-*-PWA		"solo work, normal/steep app, norm/max perf t/o, hover turns, pinnacle, confined area, slopes, straight autos, gov off"	7					1.6					1.6		1.6	1.6	1.6		
3/10/09	R22BII	N4179M	PWA-HSD-PWA		"solo work, normal/steep app, norm/max perf t/o, hover turns, gov off, windy, flight over downtown"	8					1.2							1.2	1.2	1.2		
3/11/09	R22BII	N4179M	PWA-F29-PWA		"solo work, normal/steep app, norm/max perf t/o, pedal turns, hovering, pinnacle, settling with power"	9					1.2							1.2	1.2	1.2		
3/11/09	PA-28	N75078	PWA-OUN		return flight after engine maintenance		1	1	0.6			0.6						0.6	0.6	0.6		
3/17/09	R22BII	N4179M	PWA-OUN-1K4-3O3-PWA		"night flight, traffic patterns, over downtown and Moore"		6	6			1.7	1.7				1.7		1.7	1.7	1.7		
3/19/09	R22BII	N4179M	PWA-SNL-PWA		"night flight, traffic patterns, hovers, pedal turns, steep/normal ldgs, crosswind"		8	8			2.0	2.0				2.0		2.0	2.0	2.0		
3/20/09	R22BII	N4179M	PWA-PWA		night pattern work		7	7			1.3	1.3						1.3	1.3	1.3		
3/29/09	PA-28	N75078	OUN-O44-OUN		"post-mx engine break-in, stopped at McCaslin to remove oil cooler plate"	2			1.0									1.0	1.0	1.0		
