Date	Plane	Type	Route	Total	PIC	Solo	SIC	Dual Received	Dual Given	Actual Instrument	Simulated Instrument	Approaches	Night	Cross Country	Day Landings	Night Landings	Remarks				
08/27/08	58ER	C150	DAB-OMN-DAB	1.6	1.6	1.6									7						
08/28/08	443ER	C172	DAB-DAB	1.4				1.4							1						
08/29/08	58ER	C150	DAB-DAB	1.6	1.6	1.6									8						
08/29/08	58ER	C150	DAB-DAB	0.5	0.5				0.5									121			
08/29/08	454ER	C172	DAB-OMN-DAB	1.9	1.9				1.9						1			121			
08/31/08	58ER	C150	DAB-XFL-DAB	2	2				2						1			121			
08/31/08	460ER	C172	DAB-DAB	0.6	0.6	0.6							0.6			3					
09/01/08	442ER	C172	DAB-DAB	2.2	2.2				2.2				2.2					121			
09/03/08	58ER	C150	DAB-DAB	1.1	1.1				1.1						1			121			
09/06/08	58ER	C150	XFL	0.9	0.9	0.9									6						
09/07/08	440ER	C172	DAB-SAV-JAX-DAB	4.9	4.9				4.9	0.1				4.9				221			
09/08/08	53ER	C150	DAB-DAB	1.5	1.5	1.5									16						
09/12/08	58ER	C150	DAB-DAB	1.4	1.4	1.4									8						
09/13/08	58ER	C150	XFL-XFL	0.7	0.7	0.7									3						
09/15/08	53ER	C150	DAB-DAB	0.3	0.3	0.3															
09/17/08	488ER	C172	DAB-MLB-DAB	2.3	2.3				2.3					2.3				121			
09/22/08	58ER	C150	DAB-DAB	2	2	2									16						
09/26/08	392ER	C172	DAB-GNV-DAB	2.4	2.4				2.4				2.4	2.4				121			
09/27/08	58ER	C150	XFL-XFL	0.8	0.8	0.8									2						
09/29/08	58ER	C150	DAB-DAB	1.7	1.7	1.7									14						
10/04/08	421ER	C172	XFL-XFL	0.8	0.8				0.8						1			121			
10/04/08	465ER	C172	DAB-XFL-DAB	1.4	1.4				1.4				1.4			1		321			
10/10/08	472ER	C172	DAB-DAB	1.4	1.4				1.4									121			
10/10/08	389ER	C172	DAB-XFL-DAB	2.4	2.4				2.4				2.4					121			
10/11/08	53ER	C150	OMN-DAB-XFL	2	2	2									4						
10/11/08	421ER	C172	XFL-XFL	0.8	0.8				0.8						1			121			
10/11/08	53ER	C150	XFL-DAB	1	1	1									1						
10/12/08	394ER	C172	DAB-DAB	0.4	0.4				0.4									121			
10/13/08	58ER	C150	DAB-DAB	1.8	1.8	1.8									15						
10/13/08	490ER	C172	DAB-DAB	1	1				1				1					121			
10/18/08	421ER	C172	XFL-XFL	0.7	0.7				0.7						1			121			
10/20/08	464ER	C172	DAB-OMN-DAB	2	2				2						2			121			
10/21/08	53ER	C150	DAB-DAB	1.5	1.5	1.5									10						
10/23/08	53ER	C150	DAB-DAB	1.2	1.2	1.2									9						
10/24/08	450ER	C172	DAB-DAB	2	2				2	0.6		3	1.1					221			
10/25/08	6186V	C172	DAB-EVB-DAB	2.1	2.1				2.1				2.1					321			
10/26/08	58ER	C150	DAB-OMN-DAB	1.7	1.7	1.7									10						
10/26/08	447ER	C172	DAB-DAB	1.9	1.9				1.9									121			
10/27/08	53ER	C150	DAB-DAB	1.5	1.5										15						
10/30/08	58ER	C150	DAB-DAB	0.5	0.5	0.5									3		Regionals 2008 Power-Off				
10/31/08	58ER	C150	DAB-DAB	0.7	0.7	0.7									3		Regionals 2008 Power-On				
11/02/08	469MB	C172	DAB-OMN-DAB	1.9	1.9				1.9									121			
11/04/08	482ER	C172	DAB-DAB	2.1	2.1				2.1	0.7		1	1			1		221			
11/06/08	385ER	C172	DAB-DAB	1.3	1.3				1.3				1.3					221			
11/08/08	1318Q	C172	DAB-EVB-DAB	1.7	1.7				1.7						2			121			
11/10/08	386ER	C172	DAB-XFL-DAB	1.9	1.9				1.9				1.9			1		321			
11/11/08	446ER	C172	DAB-DAB	1.8	1.8				1.8									121			
11/11/08	490ER	C172	DAB-DAB	1.6	1.6				1.6									121			
11/11/08	385ER	C172	DAB-DAB	1.2	1.2				1.2				1.2					221			
11/12/08	464ER	C172	DAB-DAB	1.9	1.9				1.9				1.9					321			
11/14/08	6269Q	C172	DAB-OMN-DAB	1.4	1.4				1.4				1.4					321			
11/15/08	440ER	C172	DAB-DAB	1.2	1.2				1.2						1			121			
11/17/08	6269Q	C172	DAB-VQQ-DAB	2.7	2.7				2.7				2.7	2.7				221			
11/18/08	466ER	C172	DAB-VQQ-DAB	2.2	2.2				2.2				2.2	2.2				121			
11/19/08	463ER	C172	DAB-PIE-MLB-DAB	4.5	4.5				4.5				4.5	4.5				221			
11/21/08	385ER	C172	DAB-GNV-DAB	2.1	2.1				2.1				2.1	2.1				121			
11/22/08	385ER	C172	DAB-DAB	1.8	1.8				1.8									321			
11/23/08	N450ER	C172	DAB-GNV-DAB	2.3	2.3				2.3					2.3				121			
11/23/08	N463ER	C172	DAB-XFL-DAB	1.7	1.7				1.7						1			121			
11/24/08	N483ER	C172	DAB-DAB	1.3	1.3				1.3				1.3			1		121			
11/28/08	N567DD	C172	DAB-OCF-DAB	2.2	2.2				2.2					2.2				121			
11/29/08	N495ER	C172	DAB-GNV-DAB	2.2	2.2				2.2					2.2				121			
11/29/08	N437ER	C172	DAB-CRG-DAB	2.5	2.5				2.5	0.6			0.6	2.5				221			
11/29/08	N437ER	C172	DAB-DAB	2.2	2.2				2.2				2.2					121			
12/01/08	N466ER	C172	DAB-EVB-DAB	1.5	1.5				1.5				1.5					321			
12/03/08	N368ER	C172	DAB-DAB	1.8	1.8				1.8									321			
12/03/08	N442ER	C172	DAB-XFL-DAB	2.3	2.3				2.3				2.3			1		121			
12/04/08	N453ER	C172	DAB-DAB	1.6	1.6				1.6				1.6			1		121			
12/05/08	N483ER	C172	DAB-MLB-DAB	2	2				2				2	2				121			
12/06/08	N24447	C172	DAB-PIE-MLB-DAB	4.5	4.5				4.5	1.5			0.3	4.5				221			
12/07/08	N488ER	C172	DAB-DED-DAB	1.5	1.5				1.5									121			
12/08/08	N442ER	C172	DAB-XFL-DAB	1.8	1.8				1.8				1.8					121			
12/09/08	N452ER	C172	DAB-OMN-DAB	1.9	1.9				1.9						1			121			
12/10/08	N368ER	C172	DAB-EVB-DAB	2	2				2				2					121			
12/13/08	N470ER	C172	DAB-DED-DAB	1.9	1.9				1.9						1			121			
12/13/08	N465ER	C172	DAB-DAB	1.3	1.3				1.3				1.3					121			
12/26/08	N1033A	C172	TPF-TPF	1.3	1.3										2						
01/08/09	N462ER	C172	DAB-DAB	1.8	1.8				1.8				1.8					221			
01/09/09	N487ER	C172	DAB-DAB	1.5	1.5				1.5									121			
01/09/09	N394ER	C172	DAB-DAB	1.7	1.7				1.7									121			
01/10/09	N392ER	C172	DAB-DAB	1.7	1.7				1.7									221			
01/10/09	N488ER	C172	DAB-DAB	1.7	1.7				1.7				1.7					221			
01/12/09	N452ER	C172	DAB-DAB	1.7	1.7				1.7						1			121			
01/13/09	N471ER	C172	DAB-DAB	1.5	1.5				1.5	1		3	1.5					221			
01/14/09	N495ER	C172	DAB-OMN-DAB	1.8	1.8				1.8						1			121			
01/14/09	N487ER	C172	DAB-DAB	1.9	1.9				1.9				1.9					221			
01/15/09	N493ER	C172	DAB-DED-DAB	1.5	1.5				1.5						1			121			
01/16/09	N465ER	C172	DAB-OMN-DAB	1.7	1.7				1.7						1			121			
01/17/09	N447ER	C172	DAB-DAB	1.4	1.4				1.4									321			
01/19/09	N452ER	C172	DAB-DAB	1.8	1.8				1.8									121			
01/19/09	N452ER	C172	DAB-DAB	1.7	1.7				1.7				1.7			1		221			
01/21/09	N450ER	C172	DAB-DAB	1.8	1.8				1.8									121			
01/21/09	N440ER	C172	DAB-DAB	1.5	1.5				1.5				1.5					221			
01/21/09	N470ER	C172	DAB-DAB	1.5	1.5				1.5				1.5					121			
01/23/09	N464ER	C172	DAB-DED-DAB	1.8	1.8				1.8						1			121			
01/23/09	N481ER	C172	DAB-SFB-DAB	1.5	1.5				1.5				1.5			1		221			
01/23/09	N368ER	C172	DAB-CRG-DAB	1.9	1.9				1.9				1.9	1.9				121			
01/24/09	N442ER	C172	DAB-DAB	1.6	1.6				1.6									121			
01/24/09	N465ER	C172	DAB-DAB	1.4	1.4				1.4									121			
01/26/09	N376ER	C172	DAB-XFL-DAB	1.9	1.9				1.9									121			
01/27/09	N465ER	C172	DAB-DAB	1	1				1						1			121			
01/27/09	N375ER	C172	DAB-OMN-DAB	1.9	1.9				1.9						1			121			
01/27/09	N376ER	C172	DAB-DAB	2	2				2				2					221			
01/28/09	N491ER	C172	DAB-DAB	1.7	1.7				1.7									321			
01/29/09	N481ER	C172	DAB-DAB	2	2				2	1.6		4	1.2				4 Approaches + Hold	221			
01/30/09	N470ER	C172	DAB-EVB-DAB	1.9	1.9				1.9						2			121			
01/30/09	N483ER	C172	DAB-VQQ-DAB	2.5	2.5				2.5				2.5	2.5				121			
01/31/09	N443ER	C172	DAB-DAB	1.7	1.7				1.7									221			
01/31/09	N488ER	C172	DAB-DAB	1.8	1.8				1.8									121			
02/02/09	N464ER	C172	DAB-DAB	1.3	1.3				1.3	0.5			1.3					221			
02/03/09	N375ER	C172	DAB-XFL-DAB	2	2				2						1			121			
02/04/09	N462ER	C172	DAB-DAB	2.1	2.1				2.1									121			
02/05/09	N460ER	C172	DAB-OMN-DAB	1.8	1.8				1.8									121			
02/05/09	N446ER	C172	DAB-DAB	1.2	1.2				1.2				1.2					121			
02/07/09	N452ER	C172	DAB-EVB-DAB	1.8	1.8				1.8						1			121			
02/09/09	N370ER	C172	DAB-DAB	1.7	1.7				1.7									121			
02/09/09	N487ER	C172	DAB-OMN-XFL-DAB	2.1	2.1				2.1									121			
02/10/09	N496ER	C172	DAB-DAB	1.4	1.4				1.4									121			
02/10/09	N453ER	C172	DAB-XFL-DAB	1.9	1.9				1.9						1			121			
02/10/09	N470ER	C172	DAB-DAB	1.5	1.5				1.5				1.5					221			
02/12/09	N463ER	C172	DAB-DAB	1.7	1.7				1.7						1			121			
02/14/09	N386ER	C172	DAB-DAB	1.4	1.4				1.4						1			121			
02/16/09	N472ER	C172	DAB-DAB	1.5	1.5				1.5				1.4					221			
02/16/09	N385ER	C172	DAB-XFL-DAB	1.6	1.6				1.6				1.6			1		121			
02/17/09	N482ER	C172	DAB-OMN-DAB	2	2				2						1			121			
02/19/09	N452ER	C172	DAB-CRG-DAB	2.8	2.8				2.8				2.8	2.8				121			
02/20/09	N437ER	C172	DAB-OMN-DAB	2	2				2						1			121			
02/20/09	N447ER	C172	DAB-OMN-DAB	1.6	1.6				1.6				1.6					321			
02/25/09	N483ER	C172	DAB-DAB	1.8	1.8				1.8									121			
02/26/09	N460ER	C172	DAB-XFL-DAB	1.9	1.9				1.9									121			
02/27/09	N477ER	C172	DAB-OMN-DAB	1.7	1.7				1.7									121			
02/27/09	N477ER	C172	DAB-XFL-DAB	2.1	2.1				2.1									121			
02/27/09	N495ER	C172	DAB-DAB	1.8	1.8				1.8				1.8					221			
02/27/09	N6269Q	C172	DAB-DAB	1.9	1.9				1.9				1.9					221			
02/28/09	N491ER	C172	DAB-ZPH-DAB	2.9	2.9				2.9					2.9				221			
03/02/09	N394ER	C172	DAB-DAB	1.6	1.6				1.6						1			121			
03/02/09	N1318Q	C172	DAB-OMN-DAB	1.9	1.9				1.9				1.1					221			
03/02/09	N471ER	C172	DAB-DAB	1.7	1.7				1.7				1.7					221			
03/03/09	N446ER	C172	DAB-SSI-VQQ-DAB	4.2	4.2				4.2	0.1			4.2	4.2				221			
03/04/09	N440ER	C172	DAB-DAB	1.4	1.4				1.4						1			121			
03/04/09	N462ER	C172	DAB-DAB	1.8	1.8				1.8						2			121			
03/05/09	N375ER	C172	DAB-XFL-DAB	2	2				2									121			
03/07/09	N376ER	C172	DAB-MLB-DAB	2.1	2.1				2.1					2.1				221			
03/07/09	N474ER	C172	DAB-XFL-DAB	2.8	2.8				2.8				2.8					121			
03/09/09	N24447	C172	DAB-OMN-DAB	2	2				2						1			121			
03/09/09	N24447	C172	DAB-EVB-DAB	1.6	1.6				1.6				1.6					321			
03/10/09	N460ER	C172	DAB-EVB-DAB	1.9	1.9				1.9						1			121			
03/13/09	N6269Q	C172	DAB-OMN-DAB	1.7	1.7				1.7				0.4					221			
03/14/09	N477ER	C172	DAB-EVB-DAB	1.2	1.2				1.2						1			121			
03/16/09	N447ER	C172	DAB-DAB	1.6	1.6				1.6									121			
03/16/09	N460ER	C172	DAB-DAB	2	2				2				1					221			
03/18/09	N452ER	C172	DAB-OMN-DAB	1.6	1.6				1.6									121			
03/18/09	N474ER	C172	DAB-XFL-DAB	2.6	2.6				2.6				2.6					121			
03/19/09	N394ER	C172	DAB-XFL-OMN-DAB	1.6	1.6				1.6									121			
03/20/09	N2239Y	PJ-3-S	F57-F57	1.5				1.5							15						1.5
03/20/09	N2239Y	PJ-3-S	F57-F57	1.6				1.6							16						1.6
03/21/09	N2239Y	PJ-3-S	F57-F57	1.9				1.9							19						1.9
03/21/09	N2239Y	PJ-3-S	F57-F57	0.8	0.8										5						0.8
03/23/09	N450ER	C172	DAB-XFL-DAB	2.6	2.6				2.6				2.6					121			
03/24/09	N483ER	C172	DAB-ZPH-DAB	2.4	2.4				2.4				2.4	2.4				121			
03/25/09	N472ER	C172	DAB-XFL-DAB	2.4	2.4				2.4				2.4			1		121			
03/30/09	N24447	C172	DAB-XFL-OMN-DAB	2.6	2.6				2.6						1			321			
03/30/09	N474ER	C172	DAB-EVB-DAB	2.1	2.1				2.1				0.5		1	1	William Wallace's First Solo	121			
03/31/09	N474ER	C172	DAB-DAB	0.8	0.8				0.8						1			121			
03/31/09	N24447	C172	DAB-DAB	1.8	1.8				1.8									121			
04/01/09	N477ER	C172	DAB-DAB	1.9	1.9				1.9				1.9					221			
04/04/09	N471ER	C172	DAB-EVB-DAB	1.4	1.4				1.4						2			121			
04/04/09	N375ER	C172	DAB-DAB	1.7	1.7				1.7						1			121			
04/04/09	N370ER	C172	DAB-DAB	1.8	1.8				1.8						1			121			
04/04/09	N376ER	C172	DAB-DAB	1.2	1.2				1.2									221			
04/07/09	N466ER	C172	DAB-ZPH-DAB	2.6	2.6				2.6				2.6	2.6				121			
04/08/09	N462ER	C172	DAB-XFL-DAB	1.7	1.7				1.7						2			121			
04/08/09	N389ER	C172	DAB-VQQ-DAB	2.4	2.4				2.4				2.4	2.4				121			
04/10/09	N376ER	C172	DAB-DAB	1.8	1.8				1.8						1			321			
04/11/09	N471ER	C172	DAB-DAB	1.6	1.6				1.6						1			121			
04/11/09	N443ER	C172	DAB-DAB	1.7	1.7				1.7						1			121			
04/13/09	N389ER	C172	DAB-DAB	1.7	1.7				1.7									321			
04/14/09	N462ER	C172	DAB-DAB	2.3	2.3				2.3				2.3					121			
04/15/09	N481ER	C172	DAB-DAB	1.9	1.9				1.9									121			
04/15/09	N493ER	C172	DAB-VQQ-DAB	2.8	2.8				2.8					2.8	1			121			
04/15/09	N440ER	C172	DAB-DAB	1.3	1.3				1.3				1.3					121			
04/17/09	N483ER	C172	DAB-DAB	1.8	1.8				1.8									121			
04/17/09	N491ER	C172	DAB-LAL-DAB	2.5	2.5				2.5					2.5				121			
04/18/09	M488ER	C172	DAB-EVB-SFB-DAB	2.1	2.1				2.1									121			
04/18/09	N464ER	C172	DAB-DAB	1.8	1.8				1.8									121			
04/21/09	N392ER	C172	DAB-XFL-DAB	2	2				2						2			121			
04/21/09	N370ER	C172	DAB-CRG-DAB	2.2	2.2				2.2				2.2	2.2				121			
04/22/09	N470ER	C172	DAB-VRB-MLB-DAB	3.1	3.1				3.1					3.1				121			
04/22/09	N443ER	C172	DAB-DAB	1.7	1.7				1.7				1.7					221			
04/23/09	N495ER	C172	DAB-EVB-DAB	1.7	1.7				1.7								Nikul Rana's First Solo	121			
04/25/09	N446ER	C172	DAB-GNV-DAB	2.4	2.4				2.4					2.4				121			
04/25/09	N471ER	C172	DAB-XFL-DAB	1.6	1.6				1.6				1.6			1		221			
04/27/09	N375ER	C172	DAB-DAB	1.1	1.1				1.1									121			
04/28/09	N443ER	C172	DAB-VQQ-DAB	2.3	2.3				2.3					2.3				121			
04/28/09	N464ER	C172	DAB-DAB	2.1	2.1				2.1				2.1					221			
04/29/09	N477ER	C172	DAB-ZPH-DAB	2.4	2.4				2.4					2.4	1			121			
04/29/09	N454ER	C172	DAB-XFL-DAB	2.2	2.2				2.2				2.2			1		221			
04/30/09	N470ER	C172	DAB-MLB-DAB	2.1	2.1				2.1				2.1	2.1				121			
05/01/09	N385ER	C172	DAB-OCF-DAB	2.7	2.7				2.7					2.7	2			121			
05/02/09	N443ER	C172	DAB-DAB	1	1										1		Danya's First Flight				
05/04/09	N465ER	C172	DAB-GNV-SGJ-DAB	2.8	2.8				2.8					2.8				121			
05/04/09	N463ER	C172	DAB-DAB	2	2				2									121			
05/06/09	N465ER	C172	DAB-DAB	1.9	1.9				1.9									121			
05/07/09	N460ER	C172	DAB-DAB	1.3	1.3				1.3									121			
05/07/09	N481ER	C172	DAB-OMN-DAB	2	2				2						3			121			
05/08/09	N453ER	C172	DAB-XFL-DAB	1.9	1.9				1.9						1			121			
05/08/09	N490ER	C172	DAB-DAB	1.5	1.5				1.5									221			
05/09/09	N440ER	C172	DAB-DAB	1.5	1.5				1.5									121			
05/09/09	N375ER	C172	DAB-XFL-DAB	2	2				2				2					321			
05/13/09	N496ER	C172	DAB-DAB	1.8	1.8				1.8						1			121			
05/15/09	N385ER	C172	DAB-DAB	1.8	1.8				1.8									321			
05/23/09	N491ER	C172	DAB-DAB	1.9	1.9				1.9	0.3		1					ILS 7L DAB	121			
05/25/09	N452ER	C172	DAB-DAB	1.4	1.4				1.4									121			
05/25/09	N435ER	C172	DAB-DAB	1.8	1.8				1.8									321			
05/25/09	N483ER	C172	DAB-DAB	1.8	1.8				1.8						1			121			
05/26/09	N460ER	C172	DAB-DAB	1.9	1.9				1.9									121			
05/26/09	N462ER	C172	DAB-EVB-DAB	1.7	1.7				1.7						1			121			
05/29/09	N482ER	C172	DAB-DAB	1.6	1.6				1.6						2			121			
05/29/09	N491ER	C172	DAB-XFL-DAB	2	2				2				2					321			
05/30/09	N452ER	C172	DAB-DAB	1.9	1.9				1.9	0.1								417A			
05/30/09	N482ER	C172	DAB-OMN-DAB	1.7	1.7				1.7									121			
06/01/09	N488ER	C172	DAB-XFL-DAB	2.2	2.2				2.2				2.2					321			
06/05/09	N464ER	C172	DAB-DAB	0.8	0.8				0.8									121			
06/05/09	N464ER	C172	DAB-DAB	2.2	2.2				2.2				2.2			1		417A			
06/06/09	N470ER	C172	DAB-EVB-DAB	1.4	1.4				1.4									121			
06/08/09	N493ER	C172	DAB-EVB-DAB	2	2				2						2			121			
06/08/09	N462ER	C172	DAB-OMN-DAB	2	2				2									121			
06/09/09	N495ER	C172	DAB-OMN-DAB	2.2	2.2				2.2						2			121			
06/09/09	N471ER	C172	DAB-DAB	1.4	1.4				1.4				1.4					321			
06/09/09	N483ER	C172	DAB-DAB	1.4	1.4				1.4				1.4					321			
06/10/09	N375ER	C172	DAB-XFL-DAB	2.1	2.1				2.1				2.1					121			
06/10/09	N462ER	C172	DAB-GNV-DAB	2.1	2.1				2.1				2.1	2.1				121			
06/11/09	N437ER	C172	DAB-EVB-DAB	1.8	1.8				1.8						1			121			
06/11/09	N462ER	C172	DAB-ISM-DAB	2.2	2.2				2.2				2.2	2.2				121			
06/12/09	N490ER	C172	DAB-OMN-DAB	2	2				2									121			
06/13/09	N454ER	C172	DAB-DED-DAB	2.3	2.3				2.3									121			
06/15/09	N442ER	C172	DAB-DAB	1.7	1.7				1.7									121			
06/15/09	N491ER	C172	DAB-DAB	1.3	1.3				1.3				0.4					121			
08/19/09	N386ER	C172	DAB-DAB	1.3	1.3			1.3			0.3	1			1		Annual Stands – GPS 16 DAB				
08/22/09	N466ER	C172	DAB-XFL-DAB	1.7	1.7			1.7		0.4		2			3		"GPS 16 DAB, ILS 7L DAB"				
08/24/09	N437ER	C172	DAB-DAB	1.7	1.7				1.7									221			
08/24/09	N495ER	C172	DAB-OMN-DAB	1	1	1							1			3					
08/27/09	N389ER	C172	DAB-DAB	1.2	1.2				1.2				1.2					417I			
08/28/09	N375ER	C172	DAB-DAB	1.6	1.6				1.6									221			
08/29/09	N477ER	C172	DAB-DAB	1	1	1									1						
08/29/09	N471ER	C172	DAB-DAB	1.4	1.4				1.4						1			121			
08/29/09	N375ER	C172	DAB-DAB	1.1	1.1				1.1									121			
08/31/09	N488ER	C172	DAB-DAB	1.9	1.9				1.9									221			
09/05/09	N394ER	C172	DAB-DAB	1.7	1.7				1.7									221			
09/05/09	N490ER	C172	DAB-DAB	1.4	1.4				1.4				1.4					121			
09/07/09	N460ER	C172	DAB-XFL-DAB	1.9	1.9				1.9				1.9			1		121			
09/08/09	N491ER	C172	DAB-DAB	1.4	1.4				1.4									121			
09/08/09	N386ER	C172	DAB-DED-DAB	1.8	1.8				1.8				1.8			1		121			
09/09/09	N472ER	C172	DAB-DAB	1.6	1.6				1.6	0.5								221			
09/11/09	N474ER	C172	DAB-OMN-DAB	1.9	1.9				1.9	0.5								221			
09/14/09	N490ER	C172	DAB-DAB	1.6	1.6				1.6									221			
09/15/09	N460ER	C172	DAB-DAB	1.5	1.5				1.5									121			
09/15/09	N376ER	C172	DAB-DAB	2.4	2.4				2.4				2.4					221			
09/16/09	N386ER	C172	DAB-DAB	1.8	1.8				1.8				1.8					221			
09/16/09	N472ER	C172	DAB-DAB	2	2				2				2					221			
09/17/09	N394ER	C172	DAB-DAB	1.9	1.9				1.9	0.1								221			
09/17/09	N471ER	C172	DAB-DAB	1.6	1.6				1.6				1.6			1		121			
09/18/09	N482ER	C172	DAB-EVB-DAB	1.7	1.7				1.7				1.7					121			
09/19/09	N483ER	C172	DAB-DAB	1.5	1.5				1.5									121			
09/19/09	N443ER	C172	DAB-DAB	1.5	1.5				1.5									221			
09/23/09	N496ER	C172	DAB-DAB	1.6	1.6				1.6									221			
09/23/09	N370ER	C172	DAB-DAB	2.3	2.3				2.3				2.3					221			
09/24/09	N442ER	C172	DAB-DAB	2	2				2									121			
09/24/09	N482ER	C172	DAB-DAB	1.7	1.7				1.7				1.7					121			
09/28/09	N376ER	C172	DAB-DAB	2.1	2.1				2.1						1			221			
09/28/09	N368ER	C172	DAB-XFL-DAB	2	2				2				2					321			
09/29/09	N389ER	C172	DAB-DAB	1.8	1.8				1.8						1			221			
09/29/09	N471ER	C172	DAB-DAB	1.7	1.7				1.7									121			
09/30/09	N453ER	C172	DAB-DAB	1.8	1.8				1.8		0.3	1					ILS 7L DAB	221			
10/01/09	N496ER	C172	DAB-DAB	1.4	1.4				1.4				0.6					221			
10/01/09	N496ER	C172	DAB-DAB	1.9	1.9				1.9				1.9					221			
10/02/09	N440ER	C172	DAB-DAB	1.2	1.2				1.2				1.2			1		121			
10/03/09	N472ER	C172	DAB-XFL-DAB	1.7	1.7				1.7									121			
10/05/09	N472ER	C172	DAB-XFL-DAB	2	2				2				2					221			
10/06/09	N491ER	C172	DAB-OMN-DAB	1.8	1.8				1.8									121			
10/07/09	N487ER	C172	DAB-OMN-DAB	1.9	1.9				1.9				0.7		1			221			
10/09/09	N477ER	C172	DAB-DAB	2	2				2				1.8					221			
10/09/09	N389ER	C172	DAB-DAB	1.4	1.4				1.4				1.4					221			
10/12/09	N491ER	C172	DAB-DAB	1.7	1.7				1.7				0.7					221			
10/12/09	N466ER	C172	DAB-XFL-DAB	1.7	1.7				1.7				1.7					221			
10/13/09	N435ER	C172	DAB-DAB	1.6	1.6				1.6	0.8								221			
																					
																					
																					
																					
																					
																					
																					
																					
																					
